항목,클러스터번호,질문
방임,-1,그렇게 생각하는 이유가 뭐예요?
방임,-1,언제부터 신고 있었어요?
방임,-1,누가 뭐라 하지는 않아?
방임,-1,옷은 늘 세탁이 잘 돼서 깨끗하나요?
방임,-1,엄마는 전화도 안 받으시나요?
방임,-1,아무도 한 번도 안 오셨나요?
방임,-1,아빠는 자기 방에 가면 나오지 않나요?
방임,-1,대답하기 어렵겠지만 이야기해 줄 수 있을까? 친구 이야기를 좀 더 듣고 싶어서 그래.
방임,-1,그때 어떤 기분이 들었을까?
방임,-1,원장님이 잘 챙겨주시나요?
방임,-1,옛날에는 못 갔나요?
방임,-1,엄마는 언제 못 오셨나요?
방임,-1,다른 음식은 안 주나요?
방임,-1,맛있는 음식을 먹을 때도 있나요?
방임,-1,아빠가 학교 행사에 안 오시면 친구의 기분은 어때요?
방임,-1,한 번도 참여하신 적이 없나요?
방임,-1,집에 먹을 게 있나요?
방임,-1,거의 없어요. 그래서 아빠가 사와야 돼요.
방임,-1,혹시 체육 시간이 싫은 이유가 땀 나는 옷이 생겨서 그런 걸까요?
방임,-1,옷에는 늘 좋은 향기가 나니?
방임,-1,미안하지만 좀 더 얘기해줄 수 있을까요? 혹시 필요하다면 선생님이 도울 수 있는 부분이 있을지도 몰라서 부탁하는 거예요.
방임,-1,못 오신 날은 어떤 날인가요?
방임,-1,두 시간 정도 사용하면 할머니나 엄마가 그만 사용하라고 하지 않아요?
방임,-1,잘 챙겨주시니?
방임,-1,운동회 때는 왜 못 오셨나요?
방임,-1,아빠가 행사에 오지 않으셨던 이유가 있었나요?
방임,-1,아빠에게 돈을 달라고 하기 무서운 이유가 있나요?
방임,-1,원장님이 항상 잘 챙겨주고 계신가요?
방임,-1,"그럼, 핸드폰 한다고 누가 뭐라 하지 않겠네?"
방임,-1,"그럼, 옷이나 신발은 잘 맞고 항상 깨끗한 상태일까?"
방임,-1,어떤 요법을 사용하시나요?
방임,-1,거부하게 되면 어떻게 되나요?
방임,-1,"이 시간은 친구가 정한 거야, 엄마 아빠랑 같이 정한 거야?"
방임,-1,옷에는 늘 좋은 향기가 나나요?
방임,-1,왜 못 오시는 것 같아?
방임,-1,게임을 너무 많이 한다고 뭐라 하신 적이 있나요?
방임,-1,"가장 최근에, 집에서 밥 먹은 게 언제인가요?"
방임,-1,아빠가 몇 번이나 집에 안 들어오고 그러세요?
방임,-1,왜 그랬나요?
방임,-1,그러면 한번 쓸 때 얼마나 써요?
방임,-1,어떤 검사를 하나요?
방임,-1,"이 한 시간은 친구가 정한 거야, 엄마 아빠랑 같이 정한 거야?"
방임,-1,한 시간보다 더 하고 싶지는 않아?
방임,-1,대화가 있는 시간이 있나요?
방임,-1,밤에 어디를 같이 나갔다 왔었나요?
방임,-1,그래서 어떻게 했어?
방임,-1,친언니인가요?
방임,-1,"그럼, 친구 옷이나 신발은 잘 맞고 항상 깨끗해요?"
방임,-1,청소는 주로 누가 하나요?
방임,-1,얼마나 적게 주나요?
방임,-1,그렇게 주는 이유가 있을까요?
방임,-1,"그럼, 옷이나 신발은 잘 맞고 항상 깨끗한 상태일까요?"
방임,-1,평일엔 어떤가요?
방임,-1,엄마가 해주시나요?
방임,-1,이모는 언제 오나요?
방임,-1,왜 안 오시는 것 같아?
방임,-1,바빠서 못 오시는 거야?
방임,-1,가볍게 다친 거는 어떻게 다친 거예요?
방임,-1,지금은 그럼 아무도 안 오시나요?
방임,-1,할머니가 뭐라고 안 하세요?
