"text","label"
"너가 잘못한 일이 있는거 아니야?","1"
"부끄럽고 창피한 걸 시킨 사람이 있어?","0"
"네 몸과 마음에 대해 스스로 결정할 수 있는 권리가 있다는 걸 알고 있니?","1"
"한 달에 몇 번 정도 그런 일이 있어?","0"
"어떤 행동을 해서 혼났다고 생각하니?","1"
"부모님이 시간이 없어서 너와 깊이 있는 대화를 못한다고 생각한적 있어?","1"
"너는 왜 그런 선택을 했던 걸까?","1"
"아무래도 너가 잘못을 했으니까 부모님이 화를 내는거 같아","1"
"너가 그 사람에게 잘못하거나 실수한 일이 있어서 그런 일이 생긴거 같지 않아?","1"
"솔직히 대답해 누가 그런 짓을 한거야?","1"
"부모님이 얼마나 자주 너를 안 돌보셨는지 지금 말해","1"
"너가 부탁받은 일을 제대로 하지 않아서 그런일이 생긴거 아닐까?","1"
"그냥 잊어버리면 되는 일 아니야?","1"
"왜 부모님이 없을 때 너 혼자 있어야 했는지 지금 바로 말해봐","1"
"인터넷이나 휴대폰을 통해 성적인 목적으로 나의 신체 부위를 사진이나 영상을 찍어 누구에게 보내거나 올린 적이 있나요?","0"
"한 달에 몇 번 정도 그런 일이 있어?","0"
"누가 그랬나요? 몇 살 정도 되어 보였나요?","0"
"집에서 밥은 배부르게 먹을 수 있어 배고픈적 없지?","1"
"일부러 그런 건 아니었던 거 같지 않아?","1"
"한 달에 몇 번 정도 그런 일이 있어?","0"
"너가 뭔가 잘못한게 있으니까 그런 일을 경험한거 같은데?","1"
"그 사람은 너와 놀고 싶어서 그런 행동을 했을 꺼야 그렇게 생각해?","1"
"그러면 그렇게 해달라고 한 사람이 있어요?","0"
"너가 말을 잘 안들으니까 그런 일이 생긴거 같은데","1"
"너가 너무 예민하게 받아들인거 아니야?","1"
"부끄럽고 창피한 걸 시킨 사람이 있어?","0"
"부모님이 왜 그런 반응을 했는지 이해할 수 있어?","1"
"할머니가 너를 때렸다고 잘 못 생각하고 있는거 아냐?","1"
"내가 무엇을 하려고 하면 무조건 안 된다고 하거나 하기 싫은데도 무조건 하라고 할 때가 있나요?","0"
"어떻게 혼내셔? 혼낼 때 때리기도 하셔?","0"
"맞았을 때 얼마나 아팠는지는 지금 중요하지 않지 않아?","1"
"부모님이 너를 사랑해주지 않아서 속상하고 슬픈거야?","1"
"이런 일이 자주 있었어?","0"
"아파도 병원 못간적 있지? 왜 그랬는지 설명해봐","1"
"어른들이 너가 배고프거나 졸린걸 무시한적이 있니?","1"
"어른들 말은 그냥 넘겨도 되는 거 아니야?","1"
"너가 집에 일찍 안가고 늦게 들어가니까 부모님이 너를 못 기다리는거 아냐?","1"
"얼마나 자주 그런가요?","0"
"그런 상황에서 어른은 어떻게 해야 맞는지 생각해 본 적 있어?","1"
"한 달에 몇 번 정도 그런 일이 있어?","0"
"한 달에 몇 번 정도 그랬어?","0"
"얼마나 자주 그런가요?","0"
"아프면 부모님이 항상 병원에 데려가 주셨어?","1"
"어른들이 나를 집에서 쫓아내거나 버리겠다고 말하거나, 어디에 가두고 못 나오게 한 적이 있나요?","0"
"부모님이 너에게 나쁜 행동을 했을 리가 없어 기억이 잘 못 된거 아냐?","1"
"어떻게 혼내셔? 혼낼 때 때리기도 하셔?","0"
"너가 그 때 너무 무서워서 아무말도 하지 않은거야? 왜 그랬어?","1"
"어디를 어떻게 아프게 했어?","0"
"그냥 장난 처럼 느껴진거야? 아니면 진지하게 심각해?","1"
"부모님 말을 잘 안들으니까 밥을 못 먹는거 같은데?","1"
"친구는 왜 그렇게 기분을 안좋게 만들었어?","1"
"그런 사진이나 동영상을 찍어서 보내주면 돈을 주겠다고 한 사람은 있어?","0"
"너는 왜 잘 못한게 없다고 생각하니?","1"
"일주일에 몇 번 정도 그런 일이 있어?","0"
"한 달에 몇 번 정도 그랬어?","0"
"인터넷이나 휴대폰을 가지고 노는 시간은 하루에 몇 시간 정도인가요?","0"
"그런 사진이나 동영상을 찍어서 보내주면 돈을 주겠다고 한 사람은 있어?","0"
"누가 너를 그렇게 힘들게 만들었는지 솔직히 말해봐","1"
"행동을 그렇게 하니까 친구가 화를 내는거 같은데?","1"
"내가 무엇을 하려고 하면 무조건 안 된다고 하거나 하기 싫은데도 무조건 하라고 할 때가 있나요?","0"
"마음이 힘들 때, 가족에게 내 마음을 이야기하나요?","0"
"너는 어른들이 너에게 항상 잘 해 줬다고 생각하고 있어 맞아?","1"
"남들 앞에서 혼나거나 다른 아이들과 비교당할 때 있어?","0"
"너의 행동이 그러니까 그 사람이 그렇게 반응한거 같은걸?","1"
"일주일에 몇 번 정도 그런 일이 있어?","0"
"내가 무엇을 하려고 하면 무조건 안 된다고 하거나 하기 싫은데도 무조건 하라고 할 때가 있나요?","0"
"마음이 힘들 때, 가족에게 내 마음을 이야기하나요?","0"
"얼마나 자주 그런가요?","0"
"남들 앞에서 혼나거나 다른 아이들과 비교당할 때 있어?","0"
"왜 그렇게 했어요?","0"
"부모님이 밥을 잘 안챙겨주시는거야? 다른 친구랑 비교했을 때 뭐가 다른거 같아?","1"
"너는 그 때 많이 무서웠어 맞지?","1"
"어른들이 장난친 걸 너무 심각하게 생각한 거 아니야?","1"
"집에 돌아왔을 때 부모님이 너의 기분이나 생각을 어떻게 생각하고 반응하는지 설명해보겠니?","1"
"누가 나의 소중한 부위를 만지거나 아프게 한 적이 있나요?","0"
